Run,Model,True_Label,Predicted_Label,Count
7,MobileNet (Mel),Cendet,Cendet,17
7,MobileNet (Mel),Cendet,Gereja,0
7,MobileNet (Mel),Cendet,Kutilang,2
7,MobileNet (Mel),Cendet,Perkutut,0
7,MobileNet (Mel),Cendet,Tekukur,0
7,MobileNet (Mel),Cendet,Trucukan,0
7,MobileNet (Mel),Gereja,Cendet,1
7,MobileNet (Mel),Gereja,Gereja,12
7,MobileNet (Mel),Gereja,Kutilang,0
7,MobileNet (Mel),Gereja,Perkutut,0
7,MobileNet (Mel),Gereja,Tekukur,0
7,MobileNet (Mel),Gereja,Trucukan,0
7,MobileNet (Mel),Kutilang,Cendet,1
7,MobileNet (Mel),Kutilang,Gereja,0
7,MobileNet (Mel),Kutilang,Kutilang,29
7,MobileNet (Mel),Kutilang,Perkutut,0
7,MobileNet (Mel),Kutilang,Tekukur,0
7,MobileNet (Mel),Kutilang,Trucukan,0
7,MobileNet (Mel),Perkutut,Cendet,0
7,MobileNet (Mel),Perkutut,Gereja,0
7,MobileNet (Mel),Perkutut,Kutilang,1
7,MobileNet (Mel),Perkutut,Perkutut,15
7,MobileNet (Mel),Perkutut,Tekukur,0
7,MobileNet (Mel),Perkutut,Trucukan,0
7,MobileNet (Mel),Tekukur,Cendet,0
7,MobileNet (Mel),Tekukur,Gereja,2
7,MobileNet (Mel),Tekukur,Kutilang,0
7,MobileNet (Mel),Tekukur,Perkutut,0
7,MobileNet (Mel),Tekukur,Tekukur,12
7,MobileNet (Mel),Tekukur,Trucukan,1
7,MobileNet (Mel),Trucukan,Cendet,0
7,MobileNet (Mel),Trucukan,Gereja,0
7,MobileNet (Mel),Trucukan,Kutilang,1
7,MobileNet (Mel),Trucukan,Perkutut,0
7,MobileNet (Mel),Trucukan,Tekukur,0
7,MobileNet (Mel),Trucukan,Trucukan,18
7,MobileNet (MFCC),Cendet,Cendet,19
7,MobileNet (MFCC),Cendet,Gereja,0
7,MobileNet (MFCC),Cendet,Kutilang,0
7,MobileNet (MFCC),Cendet,Perkutut,0
7,MobileNet (MFCC),Cendet,Tekukur,0
7,MobileNet (MFCC),Cendet,Trucukan,0
7,MobileNet (MFCC),Gereja,Cendet,2
7,MobileNet (MFCC),Gereja,Gereja,11
7,MobileNet (MFCC),Gereja,Kutilang,0
7,MobileNet (MFCC),Gereja,Perkutut,0
7,MobileNet (MFCC),Gereja,Tekukur,0
7,MobileNet (MFCC),Gereja,Trucukan,0
7,MobileNet (MFCC),Kutilang,Cendet,0
7,MobileNet (MFCC),Kutilang,Gereja,0
7,MobileNet (MFCC),Kutilang,Kutilang,30
7,MobileNet (MFCC),Kutilang,Perkutut,0
7,MobileNet (MFCC),Kutilang,Tekukur,0
7,MobileNet (MFCC),Kutilang,Trucukan,0
7,MobileNet (MFCC),Perkutut,Cendet,1
7,MobileNet (MFCC),Perkutut,Gereja,0
7,MobileNet (MFCC),Perkutut,Kutilang,0
7,MobileNet (MFCC),Perkutut,Perkutut,15
7,MobileNet (MFCC),Perkutut,Tekukur,0
7,MobileNet (MFCC),Perkutut,Trucukan,0
7,MobileNet (MFCC),Tekukur,Cendet,0
7,MobileNet (MFCC),Tekukur,Gereja,0
7,MobileNet (MFCC),Tekukur,Kutilang,0
7,MobileNet (MFCC),Tekukur,Perkutut,0
7,MobileNet (MFCC),Tekukur,Tekukur,15
7,MobileNet (MFCC),Tekukur,Trucukan,0
7,MobileNet (MFCC),Trucukan,Cendet,1
7,MobileNet (MFCC),Trucukan,Gereja,0
7,MobileNet (MFCC),Trucukan,Kutilang,0
7,MobileNet (MFCC),Trucukan,Perkutut,0
7,MobileNet (MFCC),Trucukan,Tekukur,0
7,MobileNet (MFCC),Trucukan,Trucukan,18
8,MobileNet (Mel),Cendet,Cendet,16
8,MobileNet (Mel),Cendet,Gereja,1
8,MobileNet (Mel),Cendet,Kutilang,1
8,MobileNet (Mel),Cendet,Perkutut,0
8,MobileNet (Mel),Cendet,Tekukur,0
8,MobileNet (Mel),Cendet,Trucukan,1
8,MobileNet (Mel),Gereja,Cendet,1
8,MobileNet (Mel),Gereja,Gereja,12
8,MobileNet (Mel),Gereja,Kutilang,0
8,MobileNet (Mel),Gereja,Perkutut,0
8,MobileNet (Mel),Gereja,Tekukur,0
8,MobileNet (Mel),Gereja,Trucukan,0
8,MobileNet (Mel),Kutilang,Cendet,2
8,MobileNet (Mel),Kutilang,Gereja,0
8,MobileNet (Mel),Kutilang,Kutilang,25
8,MobileNet (Mel),Kutilang,Perkutut,0
8,MobileNet (Mel),Kutilang,Tekukur,0
8,MobileNet (Mel),Kutilang,Trucukan,3
8,MobileNet (Mel),Perkutut,Cendet,0
8,MobileNet (Mel),Perkutut,Gereja,0
8,MobileNet (Mel),Perkutut,Kutilang,1
8,MobileNet (Mel),Perkutut,Perkutut,14
8,MobileNet (Mel),Perkutut,Tekukur,1
8,MobileNet (Mel),Perkutut,Trucukan,0
8,MobileNet (Mel),Tekukur,Cendet,0
8,MobileNet (Mel),Tekukur,Gereja,0
8,MobileNet (Mel),Tekukur,Kutilang,1
8,MobileNet (Mel),Tekukur,Perkutut,0
8,MobileNet (Mel),Tekukur,Tekukur,14
8,MobileNet (Mel),Tekukur,Trucukan,0
8,MobileNet (Mel),Trucukan,Cendet,0
8,MobileNet (Mel),Trucukan,Gereja,0
8,MobileNet (Mel),Trucukan,Kutilang,3
